"","lens1","lens2","val","geography","unit","description","indicator"
"15","Intermediate Caste",NA,"2068067.96817097","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and caste category","total_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"16","Not Stated",NA,"1796.80391757914","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and caste category","total_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"17","OBC",NA,"3897823.99949931","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and caste category","total_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"18","SC",NA,"2349109.029549","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and caste category","total_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"19","ST",NA,"311230.084403254","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and caste category","total_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"20","Upper Caste",NA,"1816759.63762665","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and caste category","total_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"21","F",NA,"26868192.2005328","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in gender type","total_pop_of_Andhra Pradesh_gender"
"22","M",NA,"28246114.2827215","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in gender type","total_pop_of_Andhra Pradesh_gender"
"23","Not Applicable",NA,"0","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in gender type","total_pop_of_Andhra Pradesh_gender"
"24","F",NA,"540042.083209547","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and Gender type","total_pop_of_Andhra Pradesh_tg_gender"
"25","M",NA,"5617721.70430362","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and Gender type","total_pop_of_Andhra Pradesh_tg_gender"
"26","F",NA,"1084658.35359823","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and Gender type","total_pop_of_Andhra Pradesh_tgstuhm_gender"
"27","M",NA,"9360129.16956853","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and Gender type","total_pop_of_Andhra Pradesh_tgstuhm_gender"
"28",NA,NA,"6157763.78751317","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in tg","total_pop_of_Andhra Pradesh_tg"
"29",NA,NA,"10444787.5231668","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers","total_pop_of_Andhra Pradesh_tgstuhm"
"30","RURAL",NA,"36884078.550768","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in regions","total_pop_of_Andhra Pradesh_region"
"31","URBAN",NA,"18230227.9324863","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in regions","total_pop_of_Andhra Pradesh_region"
"32","RURAL",NA,"3364653.20872524","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and regions","total_pop_of_Andhra Pradesh_tg_region"
"33","URBAN",NA,"2793110.57878794","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and regions","total_pop_of_Andhra Pradesh_tg_region"
"34","RURAL",NA,"5803651.62736469","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers, and regions","total_pop_of_Andhra Pradesh_tgstuhm_region"
"35","URBAN",NA,"4641135.89580207","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers, and regions","total_pop_of_Andhra Pradesh_tgstuhm_region"
"36","Christian",NA,"4102537.72291027","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in religion type","total_pop_of_Andhra Pradesh_religion"
"37","Hindu",NA,"46380986.6348173","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in religion type","total_pop_of_Andhra Pradesh_religion"
"38","Muslim",NA,"4628721.25950845","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in religion type","total_pop_of_Andhra Pradesh_religion"
"39","Not Applicable",NA,"1162.46405947056","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in religion type","total_pop_of_Andhra Pradesh_religion"
"40","Other Religion",NA,"898.401958789569","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in religion type","total_pop_of_Andhra Pradesh_religion"
"41","Christian",NA,"729825.03303543","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and religion","total_pop_of_Andhra Pradesh_tg_religion"
"42","Hindu",NA,"4583407.92142915","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and religion","total_pop_of_Andhra Pradesh_tg_religion"
"43","Muslim",NA,"844530.833048593","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group and religion","total_pop_of_Andhra Pradesh_tg_religion"
"44","Christian",NA,"925578.679412425","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and religion","total_pop_of_Andhra Pradesh_tgstuhm_religion"
"45","Hindu",NA,"8287500.2843541","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and religion","total_pop_of_Andhra Pradesh_tgstuhm_religion"
"46","Muslim",NA,"1231708.55940023","Andhra Pradesh","number of people","Total population of  Andhra Pradesh in target group with students and home makers,and religion","total_pop_of_Andhra Pradesh_tgstuhm_religion"
"47","Daily Wage worker/ Casual labour",NA,"3497225.66029879","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"48","Digital platform based salaried temporary",NA,"3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"49","Digital platform based self employed",NA,"5817.27405424732","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"50","Not Applicable",NA,"0","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"51","Salaried - Permanent",NA,"103936.95263808","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"52","Salaried - Temporary, not on digital platform",NA,"1009982.83769064","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"53","Self-employed not on digital platform",NA,"1537317.57780563","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in tg","emp_arr_pop_of_Andhra Pradesh_tg"
"54","Daily Wage worker/ Casual labour","Intermediate Caste","457292.283753103","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"55","Daily Wage worker/ Casual labour","Not Stated","898.401958789569","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"56","Daily Wage worker/ Casual labour","OBC","1196831.53535516","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"57","Daily Wage worker/ Casual labour","SC","1318861.06600135","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"58","Daily Wage worker/ Casual labour","ST","181247.913573065","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"59","Daily Wage worker/ Casual labour","Upper Caste","342094.459657325","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"60","Digital platform based salaried temporary","OBC","3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"61","Digital platform based self employed","Intermediate Caste","871.016360411904","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"62","Digital platform based self employed","OBC","2333.78902847075","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"63","Digital platform based self employed","Upper Caste","2612.46866536467","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"64","Not Applicable","Intermediate Caste","0","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"65","Not Applicable","OBC","0","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"66","Not Applicable","SC","0","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"67","Salaried - Permanent","Intermediate Caste","4765.74200694804","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"68","Salaried - Permanent","OBC","51805.6731574524","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"69","Salaried - Permanent","SC","38560.0535506189","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"70","Salaried - Permanent","Upper Caste","8805.48392306082","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"71","Salaried - Temporary, not on digital platform","Intermediate Caste","216119.888676522","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"72","Salaried - Temporary, not on digital platform","OBC","385226.45021909","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"73","Salaried - Temporary, not on digital platform","SC","202406.234196773","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"74","Salaried - Temporary, not on digital platform","ST","34487.5111420987","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"75","Salaried - Temporary, not on digital platform","Upper Caste","171742.753456159","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"76","Self-employed not on digital platform","Intermediate Caste","119932.764629883","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"77","Self-employed not on digital platform","OBC","758211.034499631","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"78","Self-employed not on digital platform","SC","203283.61276131","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"79","Self-employed not on digital platform","ST","48532.6339250524","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"80","Self-employed not on digital platform","Upper Caste","407357.531989759","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and caste category","emp_arr_pop_of_Andhra Pradesh_tg_CasteCategory"
"81","Daily Wage worker/ Casual labour","Intermediate Caste","457292.283753103","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"82","Daily Wage worker/ Casual labour","Not Stated","898.401958789569","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"83","Daily Wage worker/ Casual labour","OBC","1197729.93731394","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"84","Daily Wage worker/ Casual labour","SC","1318861.06600135","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"85","Daily Wage worker/ Casual labour","ST","181247.913573065","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"86","Daily Wage worker/ Casual labour","Upper Caste","342094.459657325","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"87","Digital platform based salaried temporary","OBC","3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"88","Digital platform based self employed","Intermediate Caste","871.016360411904","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"89","Digital platform based self employed","OBC","2333.78902847075","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"90","Digital platform based self employed","Upper Caste","3691.63396065771","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"91","Not Applicable","Intermediate Caste","421162.740689001","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"92","Not Applicable","OBC","449630.488050981","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"93","Not Applicable","SC","154612.360492637","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"94","Not Applicable","ST","29631.0825960326","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"95","Not Applicable","Upper Caste","134467.068678986","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"96","Salaried - Permanent","Intermediate Caste","4765.74200694804","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"97","Salaried - Permanent","OBC","51805.6731574524","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"98","Salaried - Permanent","SC","38560.0535506189","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"99","Salaried - Permanent","Upper Caste","8805.48392306082","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"100","Salaried - Temporary, not on digital platform","Intermediate Caste","217286.783190758","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"101","Salaried - Temporary, not on digital platform","OBC","389653.291805661","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"102","Salaried - Temporary, not on digital platform","SC","203306.644262153","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"103","Salaried - Temporary, not on digital platform","ST","34487.5111420987","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"104","Salaried - Temporary, not on digital platform","Upper Caste","172643.163521539","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"105","Self-employed not on digital platform","Intermediate Caste","966689.40217075","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"106","Self-employed not on digital platform","Not Stated","898.401958789569","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"107","Self-employed not on digital platform","OBC","1803187.33511702","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"108","Self-employed not on digital platform","SC","633768.905242242","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"109","Self-employed not on digital platform","ST","65863.5770920579","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"110","Self-employed not on digital platform","Upper Caste","1155057.82788508","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and caste category","emp_arr_pop_of_Andhra Pradesh_tgstuhm_CasteCategory"
"111","Daily Wage worker/ Casual labour","F","290542.942960113","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"112","Daily Wage worker/ Casual labour","M","3206682.71733868","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"113","Digital platform based salaried temporary","M","3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"114","Digital platform based self employed","M","5817.27405424732","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"115","Not Applicable","F","0","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"116","Not Applicable","M","0","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"117","Salaried - Permanent","F","13404.0731868943","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"118","Salaried - Permanent","M","90532.8794511859","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"119","Salaried - Temporary, not on digital platform","F","93492.4232816512","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"120","Salaried - Temporary, not on digital platform","M","916490.414408991","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"121","Self-employed not on digital platform","F","142602.643780888","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"122","Self-employed not on digital platform","M","1394714.93402475","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and Gender type","emp_arr_pop_of_Andhra Pradesh_tg_gender"
"123","Daily Wage worker/ Casual labour","F","291441.344918902","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"124","Daily Wage worker/ Casual labour","M","3206682.71733868","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"125","Digital platform based salaried temporary","M","3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"126","Digital platform based self employed","M","6896.43934954037","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"127","Not Applicable","F","235616.558294285","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"128","Not Applicable","M","953887.182213353","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"129","Salaried - Permanent","F","13404.0731868943","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"130","Salaried - Permanent","M","90532.8794511859","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"131","Salaried - Temporary, not on digital platform","F","93492.4232816512","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"132","Salaried - Temporary, not on digital platform","M","923884.970640558","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"133","Self-employed not on digital platform","F","450703.953916495","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"134","Self-employed not on digital platform","M","4174761.49554944","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers,and Gender type","emp_arr_pop_of_Andhra Pradesh_tgstuhm_gender"
"135","Daily Wage worker/ Casual labour",NA,"3498124.06225758","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"136","Digital platform based salaried temporary",NA,"3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"137","Digital platform based self employed",NA,"6896.43934954037","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"138","Not Applicable",NA,"1189503.74050764","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"139","Salaried - Permanent",NA,"103936.95263808","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"140","Salaried - Temporary, not on digital platform",NA,"1017377.39392221","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"141","Self-employed not on digital platform",NA,"4625465.44946594","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group with students and home makers","emp_arr_pop_of_Andhra Pradesh_tgstuhm"
"142","Daily Wage worker/ Casual labour","RURAL","2034649.84171375","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and regions","emp_arr_pop_of_Andhra Pradesh_tg_region"
"143","Daily Wage worker/ Casual labour","URBAN","1462575.81858504","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and regions","emp_arr_pop_of_Andhra Pradesh_tg_region"
"144","Digital platform based salaried temporary","URBAN","3483.48502577657","Andhra Pradesh","number of people","employment arrangement of  population of  Andhra Pradesh in target group and regions","emp_arr_pop_of_Andhra Pradesh_tg_region"
